id;start_date;end_date;language
1;2020-05-24T07:06:31;2020-05-24T04:56:46;SPANISH
2;2020-05-23T11:56:42;2020-05-24T07:01:07;SPANISH
3;2020-05-24T02:52:01;2020-05-23T13:26:10;FRENCH
4;2020-05-23T18:09:32;2020-05-24T05:40:58;FRENCH
5;2020-05-24T03:39:50;2020-05-24T08:26:49;FRENCH
6;2020-05-23T21:32:11;2020-05-24T09:40:25;FRENCH
7;2020-05-23T23:17:31;2020-05-23T17:08:22;FRENCH
8;2020-05-23T22:13:44;2020-05-24T08:29:52;SPANISH
9;2020-05-23T20:54:53;2020-05-23T17:36:16;SPANISH
10;2020-05-24T05:06:57;2020-05-23T15:41:27;SPANISH
